zone_id,zone_nom,code_dept,niveau_text,niveau_int,communes,n_communes,lat,lon,bws_raw,gws_raw,sev_raw,x_bws,x_gws,x_sv,x_a,spei3_t,spei12_t,spei3_lag1,spei12_lag1,spei3_lag2,spei12_lag2,S_struct_v2,S_conj_v2,H_v2,S_struct_v3,S_conj_v3,H_v3
8329,Secteur SG2a : Durance (elargi aux bassins versants ouest et nord Alpilles),13,alerte,2,[],1,43.73950505786989,5.03680585861122,0.17384114861488342,0.24447600543498993,0.3661384290977303,0.2897352476914724,1.0,0.12204614303257677,0.6972049369853466,-2.2272862885292275,-1.8549481801160395,-1.8977471107595063,-1.4208518865476525,-1.5566541447902242,-1.0817100029346822,0.535861401160461,0.5066337278318208,0.5167276915958312,0.4035104728898263,0.5268832382072123,0.48602443195294404
8330,Secteur SG2b : Real de Jouques (partie dpt Bouches-du-Rhone),13,crise,4,[],1,43.59688099753215,5.648845950112763,0.17384114861488342,0.24447600543498993,0.3661384290977303,0.2897352476914724,1.0,0.12204614303257677,0.5880850326476088,-1.6800472344762662,-3.7190164854556804,-2.598988548835515,-1.9879442721038316,-1.152035647224769,-1.823020139296116,0.4965782355988754,0.5969822508886008,0.5686570307179326,0.3904441101443761,0.6502895200448712,0.5866800559375636
8331,Secteur SG3 : Crau,13,alerte,2,[],1,43.57730478041502,4.880527759009998,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.7831132778682677,-2.023809258070288,-1.5956039825104442,-1.6879198844259666,-1.2234552221637882,-1.3327021164134059,-1.0254467474688125,0.8319505191740406,0.4777100013544674,0.6072213970549918,0.7309209468682687,0.5029585470561925,0.5822732807495985
8332,Secteur SG3a : Crau Alpilles,13,alerte,2,[],1,43.719645426990105,4.794348778202835,0.016032449901103973,0.24447600543498993,0.3385336395978084,0.02672074983517329,1.0,0.1128445465326028,0.6957001820418304,-2.3185148016752155,-2.1768438683778957,-2.007851721314735,-1.4787461442489225,-1.6483577326845447,-1.0630444849801948,0.4038124404526456,0.5293319655980503,0.4879773458725727,0.1541596953189318,0.5368778175255599,0.4128061411053627
8333,Secteur SG4a : Littoral Ouest Marseille (y compris Cadiere et Aygalades),13,alerte,2,[],1,43.373760333298776,5.210050489446576,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.7831132778682677,-2.023809258070288,-1.5956039825104442,-1.6879198844259666,-1.2234552221637882,-1.3327021164134059,-1.0254467474688125,0.8319505191740406,0.4777100013544674,0.6072213970549918,0.7309209468682687,0.5029585470561925,0.5822732807495985
8334,Secteur SG4b : Littoral Est Marseille (y compris le polje de Cuges les Pins),13,alerte,2,[],1,43.21049597510583,5.608908756040416,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.7272665407154072,-1.6546206505453411,-1.305063988578055,-1.3663345449499633,-1.1259521125174246,-1.2449766264565367,-1.0282196040504685,0.8118456937990108,0.42796636104024877,0.5816806851878539,0.7209508407655673,0.4527475786846548,0.5554899978895722
8335,Secteur SG5a : Touloubre amont,13,alerte,2,[],1,43.62649545024402,5.254306370083946,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.6453265591572888,-1.9616204142812126,-1.4852192100359036,-1.6222291808747848,-1.482217674580228,-1.4967234425080593,-1.2441977677424356,0.7823473004380882,0.4665463198602613,0.5844719565569472,0.7052090981126214,0.49515607482478213,0.5693868697648701
8336,Secteur SG5b : Touloubre aval (y compris la Durancole),13,alerte,2,[],1,43.606598044315,5.104454481317582,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.7831132778682677,-2.023809258070288,-1.5956039825104442,-1.6879198844259666,-1.2234552221637882,-1.3327021164134059,-1.0254467474688125,0.8319505191740406,0.4777100013544674,0.6072213970549918,0.7309209468682687,0.5029585470561925,0.5822732807495985
8337,Secteur SG6a : Arc amont (partie dpt Bouches-du-Rhone),13,alerte_renforcee,3,[],1,43.4861702855817,5.490221121646199,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.6421452787259382,-1.647372346932554,-1.5458178357063121,-2.1255985481445716,-1.2738735333085205,-1.1667340103604575,-1.3983141436221487,0.781202039482802,0.4441157797395243,0.5752824326000627,0.7045680397099907,0.4516600418704158,0.5487357345326085
8338,Secteur SG6b : Arc aval,13,alerte,2,[],1,43.51427068236875,5.2230493707729515,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.7272665407154072,-1.6546206505453411,-1.305063988578055,-1.3663345449499633,-1.1259521125174246,-1.2449766264565367,-1.0282196040504685,0.8118456937990108,0.42796636104024877,0.5816806851878539,0.7209508407655673,0.4527475786846548,0.5554899978895722
8339,Secteur SG7a : Huveaune amont (partie dpt Bouches-du-Rhone),13,crise,4,[],1,43.37754081399862,5.6247285946748065,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.6421452787259382,-1.647372346932554,-1.5458178357063121,-2.1255985481445716,-1.2738735333085205,-1.1667340103604575,-1.3983141436221487,0.781202039482802,0.4441157797395243,0.5752824326000627,0.7045680397099907,0.4516600418704158,0.5487357345326085
8340,Secteur SG7b : Huveaune aval,13,crise,4,[],1,43.32678422815137,5.498708371365717,0.4920356869697571,0.24447600543498993,0.5008078309829558,0.8200594782829285,1.0,0.16693594366098527,0.7272665407154072,-1.6546206505453411,-1.305063988578055,-1.3663345449499633,-1.1259521125174246,-1.2449766264565367,-1.0282196040504685,0.8118456937990108,0.42796636104024877,0.5816806851878539,0.7209508407655673,0.4527475786846548,0.5554899978895722
9152,OUGC Isle-Dronne /  Zone d'alerte : L'Auzonne,16,alerte_renforcee,3,[],1,45.339565356228064,0.2029246170299232,0.17391417920589447,0.09303999692201614,0.4050251094977797,0.28985696534315747,0.6202666461467743,0.13500836983259323,0.2907300966136281,-1.544759396647124,-1.131641484448654,-0.15339257926354563,-0.2386263105083224,-1.084747568793907,-0.035859030379023236,0.3364286479130333,0.4054179161970181,0.3767040681695839,0.31347902755973606,0.4357868119648017,0.38748144649230903
9156,OUGC Isle-Dronne /  Zone d'alerte : La Tude,16,crise,4,[],1,45.34508622856036,0.07561429841139283,0.17391417920589447,0.09303999692201614,0.4050251094977797,0.28985696534315747,0.6202666461467743,0.13500836983259323,0.2971546023649001,-1.686342211535787,-1.405469333499381,-0.39963182318753165,-0.5887687071922647,-1.7778551466770895,-0.289542545395915,0.3387414699834912,0.4375756213358268,0.3986649060202301,0.31473854348074887,0.4574567728027699,0.4032552067013994
9157,"OUGC Isle-Dronne /  Zone d'alerte : Lary, Pousonne, Palais",16,alerte_renforcee,3,[],1,45.31596887281937,-0.1328526297395404,0.17391417920589447,0.09303999692201614,0.4050251094977797,0.28985696534315747,0.6202666461467743,0.13500836983259323,0.32637821226319036,-1.7620345937017656,-1.41748464446542,-0.38558439790209365,-0.6487197641301472,-1.144310581217875,-0.3573382484882389,0.3492619695468757,0.44514317937391185,0.40790293910422337,0.32023881404291465,0.46837277803125127,0.4132463446032147
9159,OUGC Karst /  Zone d'alerte : Bandiat,16,alerte,2,[],1,45.65166289939189,0.3731670632405501,0.4644896984100342,0.09303999692201614,0.5765413493178984,0.774149497350057,0.6202666461467743,0.1921804497726328,0.234948827013858,-1.4713571777357357,-1.2270702009162449,-0.08711684333713325,-0.5492516891335353,-1.1639834263734992,-0.29205067345239943,0.5584936568605657,0.404417942716774,0.4686532542817732,0.5285310700847848,0.4238564637406338,0.4660717822396072
